Genome_ID,Species_current,Genus,Accession,Study_group
LABG_0283,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_036321605.1,core_LAB
LABG_0284,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_036416335.1,core_LAB
LABG_0285,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_036898925.1,core_LAB
LABG_0286,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_037094665.1,core_LAB
LABG_0287,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_037099845.1,core_LAB
LABG_0288,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_037099865.1,core_LAB
LABG_0289,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_037100195.1,core_LAB
LABG_0290,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_037113575.1,core_LAB
LABG_0291,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_037290055.1,core_LAB
LABG_0292,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_037414365.1,core_LAB
LABG_0293,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_037414405.1,core_LAB
LABG_0294,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_037414485.1,core_LAB
LABG_0295,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_037997095.1,core_LAB
LABG_0296,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_038024955.1,core_LAB
LABG_0297,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_038096155.1,core_LAB
LABG_0298,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_038592865.1,core_LAB
LABG_0299,Lactiplantibacillus paraplantarum,Lactiplantibacillus,GCF_038592875.1,core_LAB
LABG_0300,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_038743365.1,core_LAB
LABG_0301,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_039725565.1,core_LAB
LABG_0302,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_039954855.1,core_LAB
LABG_0303,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_040268325.1,core_LAB
LABG_0304,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_040271445.1,core_LAB
LABG_0305,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_040356725.1,core_LAB
LABG_0306,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_040435965.1,core_LAB
LABG_0307,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_040448705.1,core_LAB
LABG_0308,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_040536935.1,core_LAB
LABG_0309,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_040745055.1,core_LAB
LABG_0310,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_040790815.1,core_LAB
LABG_0311,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_040790905.1,core_LAB
LABG_0312,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_040822455.1,core_LAB
LABG_0313,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_040969965.1,core_LAB
LABG_0314,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_041080595.1,core_LAB
LABG_0315,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_041222805.1,core_LAB
LABG_0316,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_041297935.1,core_LAB
LABG_0317,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_041344935.1,core_LAB
LABG_0318,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_041344945.1,core_LAB
LABG_0319,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_041531555.1,core_LAB
LABG_0320,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_041725645.1,core_LAB
LABG_0321,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_041927215.1,core_LAB
LABG_0322,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_041941405.1,core_LAB
LABG_0323,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_042465735.1,core_LAB
LABG_0324,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_042691645.1,core_LAB
LABG_0325,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_044095195.1,core_LAB
LABG_0326,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_044590115.1,core_LAB
LABG_0327,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_045010365.1,core_LAB
LABG_0328,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_045159745.1,core_LAB
LABG_0329,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_045348015.1,core_LAB
LABG_0330,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_045348195.1,core_LAB
LABG_0331,Lactiplantibacillus brownii,Lactiplantibacillus,GCF_045862825.1,core_LAB
LABG_0332,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_046097075.1,core_LAB
LABG_0333,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_046109905.1,core_LAB
LABG_0334,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_046244405.1,core_LAB
LABG_0335,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_046529735.1,core_LAB
LABG_0336,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_046843265.1,core_LAB
LABG_0337,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_047041085.1,core_LAB
LABG_0338,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_047223445.1,core_LAB
LABG_0339,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_047224495.1,core_LAB
LABG_0340,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_047277305.1,core_LAB
LABG_0341,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_047495545.1,core_LAB
LABG_0342,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_047649195.1,core_LAB
LABG_0343,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_048008025.1,core_LAB
LABG_0344,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_048009075.1,core_LAB
